Name,Description,Image,Category,Price,Currency,PriceId
Coca-Cola 33 cl,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs-canette/coca cola.png,Boissons softs canette,2,EUR,
Coca-Cola Cherry 33 cl,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs-canette/coca cola cherry.png,Boissons softs canette,2,EUR,
Coca-Cola zero sucres 33 cl,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs-canette/coca zero.png,Boissons softs canette,2,EUR,
Fanta Orange 33 cl,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs-canette/fanta orange.png,Boissons softs canette,2,EUR,
Orangina 33 cl,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs-canette/orangina.png,Boissons softs canette,2,EUR,
Ice tea Pêche 33 cl,TVA à 10% inclus,,Boissons softs canette,2,EUR,
Minute Maid Pomme 33 cl,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs-canette/minute maid pomme.png,Boissons softs canette,2,EUR,
Minute Maid Orange 33 cl,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs-canette/minute maid orange.png,Boissons softs canette,2,EUR,
Minute Maid Tropical 33 cl,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs-canette/minute tropical.png,Boissons softs canette,2,EUR,
Docteur Pepper 33 cl,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs-canette/dr pepper.jpg,Boissons softs canette,2.5,EUR,
Canada Dry 33 cl,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs-canette/canada dry.jpg,Boissons softs canette,2.5,EUR,
Red Bull 25 cl,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs-canette/red bull.png,Boissons softs canette,3.5,EUR,
Häagen Dazs 100 ml - Macadamia,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/glaces/haagen daz 100ml.jpg,Glaces,6,EUR,
Häagen Dazs 100 ml - Praline cream,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/glaces/haagen daz 100ml.jpg,Glaces,6,EUR,
Häagen Dazs 100 ml - Dulce de leche,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/glaces/haagen daz 100ml.jpg,Glaces,6,EUR,
Häagen Dazs 100 ml - Vanille caramel brownie,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/glaces/haagen daz 100ml.jpg,Glaces,6,EUR,
Häagen Dazs 500 ml - Macadamia,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/glaces/haagen 500.jpg,Glaces,12,EUR,
Häagen Dazs 500 ml - Praline cream,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/glaces/haagen 500.jpg,Glaces,12,EUR,
Häagen Dazs 500 ml - Dulce de leche,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/glaces/haagen 500.jpg,Glaces,12,EUR,
Häagen Dazs 500 ml - Vanille caramel brownie,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/glaces/haagen 500.jpg,Glaces,12,EUR,
Häagen Dazs 500 ml - Biscuit speculos,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/glaces/haagen 500.jpg,Glaces,12,EUR,
"Coca-Cola 1,25L",TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs/coca 1.25.png,Boissons softs,4,EUR,
"Coca-Cola Zero 1,25L",TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs/coca zero 1.25.png,Boissons softs,4,EUR,
"Fanta Orange 1,5L",TVA à 10% inclus,,Boissons softs,4,EUR,
"Sprite Citron - Citron Vert 1,25 L",TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs/sprite 1.25.jpg,Boissons softs,4,EUR,
"Schweppes Agrum' 1,5L",TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs/schweppes agrumes 1.5.png,Boissons softs,5,EUR,
Schweppes Tonic 1.5L,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs/schweppes tonic 1.5.png,Boissons softs,5,EUR,
Oasis Tropical 2L,TVA à 10% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/boissons-softs/oasis 2 l.png,Boissons softs,5,EUR,
Pack Heineken 6x25cl,TVA à 20% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/bieres/HEINEKEN PAR 6.png,Bières,12,EUR,
Heineken 25 cl,TVA à 20% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/bieres/heineken 25cl.jpg,Bières,3,EUR,
Corona 33 cl,TVA à 20% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/bieres/corona.jpg,Bières,4,EUR,
Smirnoff Ice 27.5 cl,TVA à 20% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/bieres/smirnoff ice.png,Bières,4,EUR,
Asahi 50 cl,TVA à 20% inclus,https://zyllio.github.io/zyllio-samples/le-room-service/products/bieres/asa.jpg,Bières,4,EUR,
Muscadet Sèvre et Maine Michel Laurent 75 cl,"Robe jaune doré pâle. Fraîcheur citronnée au nez souligné de saveurs florales et fruits blancs. La bouche est droite et nette, bien balancée par une noble acidité rafraîchissante et de bon aloi. La chair vineuse est bien définie assurant gourmandise, tension minérale et surtout équilibre ! Ensemble croquant, tonique et savoureux ! Servir vers 10° sur fruits de mer, poissons et coquillages

TVA à 20% inclus
",,Vins blancs,16,EUR,
Sauvignon Vigne Antique 75cl,"Vin intense et équilibré, avec une finale acidulée sur des arômes de fruits frais très prononcés. Cépages : Sauvignon Robe jaune très pâle aux reflets brillants. Arômes intenses de fruits exotiques. Attaque vive et rafraîchissante. Température de service : 10° - 12°

TVA à 20% inclus",,Vins blancs,17,EUR,
Chardonnay Maison Ventenac Préjugés 75 cl,"Robe jaune doré, brillance. Nez gourmand et enjôleur, fruits blancs finement agrumés, touches de pêches, nuances d'un boisé brioché adroitement vanillé. Un joli gras bien enrobé, de l'onctuosité, du punch et un ciselé gourmand. L'ensemble équilibré et croquant se révèle d'une tension et d'une minéralité exemplaires !! Longue finale noisettes et amandes. Chardonnay bien balancé et judicieusement vinifié, du très beau boulot !! Respect ! Servir vers 10/11° sur crustacés, poissons grillés, fromages gras

TVA à 20% inclus",,Vins blancs,19,EUR,
