Id,Nom,Description,Portions,Portions unité,Difficulté,Coût,Régime,Catégorie,Préparation,Cuisson,Jour,Ingrédients,Instructions,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)","Energie, Règlement UE N° 1169/2011 (kcal/100 g)","Energie, N x facteur Jones, avec fibres  (kJ/100 g)","Energie, N x facteur Jones, avec fibres  (kcal/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)","Protéines, N x 6.25 (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),Beta-Carotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K1 (µg/100 g),Vitamine K2 (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou PP ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g),Image
0,Porridge d'avoine aux baies et graines de chia,"Un porridge d'avoine nutritif agrémenté de baies fraîches et de graines de chia, parfait pour un petit déjeuner sain.",2,personnes,1,2,Méthode ami,Petit déjeuner,5,15,1,"100 gramme Avoine complète
300 millilitre Lait d'amande
1 poignée Baies fraîches, framboises, myrtilles
1 cuillère à soupe Graines de chia
1 cuillère à soupe Sirop d'érable, optionnel","Mettez l'avoine et le lait d'amande dans le Thermochef.
Réglez sur le menu thermodiet à 85 degrés, couvercle fermé, pour 15 minutes.
À mi-cuisson, ajoutez les graines de chia.
Servez chaud, garni de baies fraîches et d'un filet de sirop d'érable si désiré.",1020.0,243.45,1010.0,241.45,170.742,11.394,12.189,38.0518,10.329,8.725,1.173,0.15,1.091,0.15,0.225,6.375,26.75325,9.611,0.015,1.6045,0.0,0.0285,0.0,0.0851,106.615,35.0,0.4736000000000001,3.2728,30.2875,129.05,3.0768,349.7499999999999,365.605,34.5875,34.197,2.6117,0.0,19.875,0.375,2.185,1.2,0.0,22.604,0.45715,0.25305,1.39705,0.7731000000000001,0.0912,48.085,0.0,https://zyllio.github.io/zyllio-samples/recipies/menus/images/0.jpg
1,Salade de quinoa aux lentilles et épinards,"Une salade nourrissante et saine combinant quinoa, lentilles corail et épinards frais, assaisonnée d'une vinaigrette au tahini.",2,personnes,2,3,Méthode ami,Déjeuner,10,20,1,"100 gramme Quinoa
50 gramme Lentilles corail
2 poignées Épinards frais
1 Avocat, coupé en dés
1 Vinaigrette, mélange d'huile d'olive, tahini, pointe d’ail, sel, et poivre","Cuisez le quinoa et les lentilles dans le Thermochef, couvercle fermé, 1 mesure de quinoa et de lentille pour 1 mesure et demi d’eau, 3 minutes menu légumes secs, pression 5, puissance 1.
Laissez refroidir, puis mélangez avec les épinards et l'avocat coupé en dés.
Assaisonnez avec la vinaigrette.",947.75,228.25,944.75,227.75,134.35,7.0305,7.2005,19.7955,25.445,1.4035,0.2808,0.12605,0.2784,0.285,0.285,0.8845999999999999,16.72775,7.4205,0.375,4.12925,0.0,0.768,0.4975,0.5519999999999999,61.49999999999999,332.7,0.346,2.8,24.52,75.35,1.012,165.335,650.45,38.78,205.51,1.525,3.675,1703.625,0.0625,5.111000000000001,185.505,0.0,12.9175,0.1861,0.102,1.6705,1.22955,0.264075,146.7515,0.006475,https://zyllio.github.io/zyllio-samples/recipies/menus/images/1.jpg
2,Filet de saumon et brocolis vapeur,"Un repas sain et rapide avec du saumon et des brocolis cuits à la vapeur, avec une option de quinoa pour une touche de complément.",2,personnes,2,4,Méthode ami,Dîner,5,20,1,"2 Filets de saumon
200 gramme Brocolis
50 gramme Quinoa, optionnel
Sel, au goût
1 pincée Poivre","Placez le saumon et les brocolis dans le panier vapeur du Thermochef.
Réglez sur pression pour 3 minutes, puissance 3, pression 7.
Servez avec une portion de quinoa si désiré, assaisonnez à votre goût.",1445.65,346.4,1444.15,346.15,198.245135,39.6815,39.7665,8.8725,19.5425,1.9207,0.75615,0.02575,0.5062,0.175,0.175,0.3976,6.075,3.978499999999999,0.0,3.57195,0.0,1.10005,85.94999999999999,0.73593,71.36650000000002,401.15,0.18475,1.77145,0.909,83.51575000000001,0.6850999999999999,486.89,994.5845,5.7025,296.021,1.33539,0.0,365.29,0.00125,1.26965,181.92,0.0,110.1875,0.5146000000000001,0.27205,12.2723,3.0716,0.8834,195.434,4.17,https://zyllio.github.io/zyllio-samples/recipies/menus/images/2.jpg
3,Smoothie vert protéiné,"Un smoothie riche en protéines avec des épinards et du beurre d'amande, idéal pour un coup de pouce énergétique.",2,personnes,1,2,Méthode ami,Petit déjeuner,5,0,2,"1 Banane mûre
1 poignée Épinards frais
1 cuillère à soupe Beurre d'amande
200 millilitre Lait d'amande
1 cuillère à soupe Protéine de pois en poudre
1 Glaçons","Placez tous les ingrédients dans un blender.
Mixez jusqu'à obtenir une consistance lisse.
Servez immédiatement pour une fraîcheur optimale.",417.6,99.6,415.8,99.17999999999999,171.972,4.709,5.121,14.0201,7.853000000000001,9.972999999999999,2.4149,0.13265,2.5145,0.242,0.242,5.3445,2.918499999999999,3.8121,0.3106,1.3297,0.0,0.1519,0.0,0.087184,59.35819999999999,65.38,0.22158,1.2357,35.31,60.7136,0.6911148,96.57999999999998,411.9022,34.815,34.541,0.7245400000000001,0.0,867.4864,0.285,3.1805,79.836,0.0,11.031,0.07617,0.07777999999999999,0.7043,0.3344,0.1677,60.212,0.0,https://zyllio.github.io/zyllio-samples/recipies/menus/images/3.jpg
4,Salade tiède de lentilles au tofu fumé,"Une délicieuse salade tiède composée de lentilles vertes, de tofu fumé, de carotte et d’oignon rouge, assaisonnée d'une vinaigrette au tahini.",2,personnes,2,3,Méthode ami,Déjeuner,10,25,2,"100 gramme Lentilles vertes
200 gramme Tofu fumé, coupé en dés
1 Carotte, coupée en dés
1 Oignon rouge, émincé
Huile d'olive, pour la vinaigrette, au goût
Tahini, pour la vinaigrette, au goût
Ail, pointe pour la vinaigrette, au goût
Sel, au goût
Poivre, au goût
Herbes fraîches, persil, coriandre, au goût","Cuisez les lentilles dans le Thermochef, couvercle fermé, pendant 7 minutes, puissance 3, programme légumes secs pression 7 et réservé.
Après, faites revenir légèrement le tofu fumé dans le Thermochef menu Thermogrill, couvercle ouvert, puissance 3, sans ajout de matière grasse.
Mélangez les lentilles cuites, le tofu, la carotte, et l'oignon rouge dans un saladier.
Assaisonnez avec la vinaigrette et garnissez d'herbes fraîches avant de servir.",1134.55,271.26,1110.55,265.26,212.829885,22.99175,24.68675,21.26375,17.0705,6.9497,1.97865,0.10075,1.9312,0.715,0.915,3.0526,8.830749999999998,8.1595,0.42250875,3.899950000000001,0.0,0.5945619999999999,0.0,1.37568,140.5465,952.8725000000001,0.53409,4.073371000000001,26.109,178.6095,1.6696,378.1425,619.3170000000001,39.1795,546.6134999999999,2.70839,0.01075,2223.565,0.4012545,1.63065,39.3625,0.0,7.702500000000001,0.24835,0.0968,0.8982999999999999,0.6108499999999999,0.31115,95.18149999999999,0.019,https://zyllio.github.io/zyllio-samples/recipies/menus/images/4.jpg
5,Courgettes farcies aux champignons et quinoa,"Des courgettes tendrement farcies de quinoa et de champignons, préparées avec le Thermochef pour un repas léger et sain.",2,personnes,3,3,Méthode ami,Dîner,15,13,2,"2 Courgettes, moyennes
100 gramme Quinoa
200 gramme Champignons, hachés finement
1 Gousse d'ail, émincée
1 Échalote, émincée
Huile d'olive extra vierge, au goût
Sel, au goût
1 pincée Poivre","Cuisez le quinoa dans le Thermochef, couvercle fermé, menu pression mode1, pression 5 pendant 3 minutes.
Coupez les courgettes en deux dans le sens de la longueur et évidez-les légèrement.
Faites revenir l'ail, l'échalote, et les champignons dans le Thermochef avec un peu d'huile, couvercle ouvert, pendant 5 minutes, menu Thermogrill, puissance3.
Mélangez les champignons et le quinoa cuits, assaisonnez, puis farcissez les courgettes avec ce mélange.
Placez les courgettes dans la cuver du Thermochef et pendant 5 minutes, menu Thermogrill, puissance3, couvercle fermé, pendant 8 minutes.
Servez chaud, accompagné d'une salade verte si désiré.",719.1999999999999,170.915,716.1999999999999,170.415,334.439635,7.77115,7.94115,22.9565,3.967500000000001,6.291199999999999,2.40565,0.05075,2.5192,0.103,0.303,0.9675999999999998,12.24275,6.5855,0.6105,3.01585,0.0,0.09125,0.0,0.5586,61.6915,326.5045,0.55535,2.33715,10.189,84.542,0.8698499999999999,279.3475,1046.042,19.8425,222.841,1.93789,0.0,252.115,0.21125,1.27835,11.3845,0.0,40.41,0.2606,0.6697,5.6438,2.477,0.5491499999999999,129.0005,0.0,https://zyllio.github.io/zyllio-samples/recipies/menus/images/5.jpg
6,Pancakes de sarrasin aux myrtilles,"Des pancakes moelleux et savoureux avec une touche fruitée de myrtilles, parfaits pour un petit-déjeuner gourmand ou une pause sucrée à tout moment de la journée.",2,personnes,2,2,Méthode ami,Petit déjeuner,10,15,3,"100 gramme Farine de sarrasin
1 cuillère à café Levure chimique
1 cuillère à soupe Sirop de yacon
200 millilitre Lait d'amande
1 poignée Myrtilles fraîches
1 Huile de coco, pour la cuisson","Dans un bol, mélangez la farine de sarrasin, la levure, et le sirop de yacon.
Incorporez progressivement le lait d'amande jusqu'à obtenir une pâte lisse.
Ajoutez les myrtilles à la pâte.
Faites chauffer un peu d'huile de coco dans le Thermochef, menu Thermogrill puissance 3, couvercle ouvert.
Versez-y des petites louches de pâte.
Cuisez chaque pancake jusqu'à ce qu'il soit doré de chaque côté, environ 2-3 minutes par côté.
Servez chaud avec un filet de sirop d'érable si désiré ou de yacon.",1235.3,294.765,1235.3,294.765,140.637,7.2955,7.2955,47.509,10.9935,10.8275,2.3365,0.1,3.16425,0.1,0.205,0.2205,34.5135,3.7275,0.0163,2.4996226,0.0,0.6355000000000001,0.0,0.07474499999999999,250.6,0.0,0.32595,1.7561,20.225,90.025,0.8533250000000001,334.4,260.92,22.4545,384.7091,1.332375,0.0,19.4,0.25,2.2085,13.0175,0.0,5.114999999999999,0.22165,0.10945,2.724,0.8069999999999999,0.2634,41.1,0.0,https://zyllio.github.io/zyllio-samples/recipies/menus/images/6.jpg
7,Boulettes de haricots noirs sur lit de salade,"Délicieuses boulettes de haricots noirs épicées, servies sur un lit de salade fraîche pour un plat sain et savoureux.",2,personnes,3,2,Méthode ami,Déjeuner,15,20,3,"200 gramme Haricots noirs, cuits
1 Oignon, finement haché
1 Gousse d'ail, écrasée
1 cuillère à café Cumin, moulu
1 cuillère à soupe Farine de sarrasin, pour lier
1 Salade mixte, laitue, roquette, épinards
1 Vinaigrette, adaptée sans acide","Écrasez les haricots noirs dans un bol jusqu'à obtenir une pâte grossière.
Incorporez l'oignon, l'ail, le cumin, et la farine de sarrasin.
Formez des boulettes avec le mélange.
Placez les boulettes dans le panier vapeur du Thermochef, mettez 300 ml d’eau au fond de la cuve.
Cuisez menu pression, couvercle fermé, puissance 3, pression 5 pendant 3 minutes.
Servez les boulettes chaudes sur un lit de salade mixte, assaisonnées avec la vinaigrette.",585.35,139.335,585.35,139.335,118.5726,12.00715,12.00715,21.384,10.42,3.4495,1.0895,0.0,1.038375,0.488,0.498,1.47165,15.2365,13.8115,0.5075,1.8917,0.0,0.29055,0.1225,0.5479949999999999,81.665,322.2045,0.3101,3.210545,28.8,57.41,0.6157999999999999,194.415,459.55,30.445,215.855,1.26075,3.675,42.945,0.25375,2.4105,18.941,0.0,2.647,0.1943,0.0597,0.6298000000000001,0.24395,0.169475,98.08299999999998,0.006475,https://zyllio.github.io/zyllio-samples/recipies/menus/images/7.jpg
8,Risotto aux champignons et épinards,"Un crémeux risotto aux champignons et épinards frais, parfait pour un repas réconfortant.",2,personnes,3,3,Méthode ami,Dîner,10,20,3,"150 gramme Riz à risotto, (riz arborio)
200 gramme Champignons, tranchés
2 poignées Épinards frais
1 Oignon, finement haché
500 millilitre Bouillon de légumes
1 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût","Faites revenir l'oignon dans le Thermochef avec l'huile d'olive, couvercle ouvert, menu Thermogrill, puissance 3 pendant 5 minutes.
Ajoutez le riz et faites-le toaster légèrement jusqu'à ce qu'il devienne translucide.
Ajoutez progressivement le bouillon de légumes, et laissez cuire à couvercle fermé menu soupe mode 1.
A la fin de la cuisson, ajoutez les champignons et continuez couvercle ouvert, menu Thermogrill, puissance 3 pendant 5 minutes.
2 minutes avant la fin de la cuisson, incorporez les épinards pour qu'ils flétrissent.
Assaisonnez à votre goût et servez chaud.",856.6,204.05,854.35,203.3,457.856635,6.845000000000001,6.950000000000001,31.3525,7.928500000000001,4.554199999999999,1.19695,0.02205,1.7946,0.4,0.5,1.0247,22.104,4.0095,0.4500000000000001,4.5712,0.0,0.1437,0.5625,2.134525,69.9595,371.1325,0.4089499999999999,2.142795,23.429,42.444,0.7297500000000001,144.8195,627.3040000000001,20.3625,843.916,1.21464,0.0,1739.44,0.2175,2.292650000000001,161.5715,0.0,18.0575,0.4332,0.54055,5.1603,2.0456,0.2179,115.934,0.024,https://zyllio.github.io/zyllio-samples/recipies/menus/images/8.jpg
9,Smoothie vert revitalisant,"Un smoothie onctueux et nutritif, idéal pour un coup de boost grâce aux épinards, à la banane et à l'avocat.",2,personnes,1,2,Méthode ami,Petit déjeuner,5,0,4,"1 Banane, mûre
1 poignée Épinards, frais
0.5 Avocat
200 millilitre Lait d'amande
1 cuillère à soupe Graines de chia
Feuilles de menthe, fraîche, au goût
1 cuillère à café Miel, optionnel","Placez tous les ingrédients dans le blender et mixez jusqu'à obtenir une consistance lisse et onctueuse.
Servez immédiatement pour profiter pleinement des vitamines et minéraux.",710.095,170.89,710.095,170.89,186.575,4.0195,4.2145,16.71055,13.3535,12.6025,3.8114,0.246525,3.6452,0.293,0.3451500000000001,4.8917,2.96275,6.589499999999999,0.4925,2.6225,0.0,0.48045,0.1875,0.09844499999999999,93.50155000000001,69.282,0.249295,2.0311,39.8275,67.85660000000001,0.80105,115.2235,524.1155,39.7025,39.17635,0.8604800000000001,0.0,923.69,0.25,2.62145,84.8595,0.0,12.9039,0.12571,0.09724000000000001,1.75915,0.6633150000000001,0.22517,85.16499999999999,0.0,https://zyllio.github.io/zyllio-samples/recipies/menus/images/9.jpg
