Nom,Fichier
"Choisir un menu avec le thermochef","https://zyllio.github.io/zyllio-samples/recipies/guide/CHOISIR%20UN%20MENU%20AVEC%20LE%20THERMOCHEF.MP3"
"Decouvrir les accessoires du thermochef","https://zyllio.github.io/zyllio-samples/recipies/guide/DECOUVRIR%20LES%20ACCESSOIRES%20DU%20THERMOCHEF.MP3"
"Nettoyage et auto nettoyage au thermochef","https://zyllio.github.io/zyllio-samples/recipies/guide/NETTOYAGE%20ET%20AUTO%20NETTOYAGE%20AU%20THERMOCHEF.MP3"
"Reperer les 9 boutons du thermochef","https://zyllio.github.io/zyllio-samples/recipies/guide/REPERER%20LES%209%20BOUTONS%20DU%20THERMOCHEF.MP3"
"Utiliser le menu four plancha","https://zyllio.github.io/zyllio-samples/recipies/guide/UTILISER%20LE%20MENU%20FOUR%20PLANCHA.MP3"
"Utiliser le menu four vapeur","https://zyllio.github.io/zyllio-samples/recipies/guide/UTILISER%20LE%20MENU%20FOUR%20VAPEUR.MP3"
"Utiliser le menu legume sec","https://zyllio.github.io/zyllio-samples/recipies/guide/UTILISER%20LE%20MENU%20LEGUME%20SEC.MP3"
"Utiliser le menu maintient au chaud","https://zyllio.github.io/zyllio-samples/recipies/guide/UTILISER%20LE%20MENU%20MAINTIENT%20AU%20CHAUD.MP3"
"Utiliser le menu pate","https://zyllio.github.io/zyllio-samples/recipies/guide/UTILISER%20LE%20MENU%20PATE.MP3"
"Utiliser le menu pression","https://zyllio.github.io/zyllio-samples/recipies/guide/UTILISER%20LE%20MENU%20PRESSION.MP3"
"Utiliser le menu ragout","https://zyllio.github.io/zyllio-samples/recipies/guide/UTILISER%20LE%20MENU%20RAGOUT.MP3"
"Utiliser le menu rechauffer et decongeler","https://zyllio.github.io/zyllio-samples/recipies/guide/UTILISER%20LE%20MENU%20RECHAUFFER%20ET%20DECONGELER.MP3"
"Utiliser le menu riz","https://zyllio.github.io/zyllio-samples/recipies/guide/UTILISER%20LE%20MENU%20RIZ.MP3"
"Utiliser le menu thermodiet","https://zyllio.github.io/zyllio-samples/recipies/guide/UTILISER%20LE%20MENU%20THERMODIET.MP3"
"Utiliser le menu thermogrill","https://zyllio.github.io/zyllio-samples/recipies/guide/UTILISER%20LE%20MENU%20THERMOGRILL.MP3"
"Utiliser le menu yaourt","https://zyllio.github.io/zyllio-samples/recipies/guide/UTILISER%20LE%20MENU%20YAOURT.MP3"
