Id,Nom,Catégorie,Description,Préparation,Cuisson,Image,Portions,Difficulté,Coût,Régime,Ingrédients,Instructions,Calories,Glucides,Protéines,Sucres,Lipides,Fibres,Amidon,Calcium,Choléstérol,Cuivre,Fer,Magnésium,Manganèse,Phosphore,Potassium
0,Risotto aux champignons,Entrées,Un crémeux risotto italien aux champignons de Paris.,,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/0.jpg,4,3,2,Équilibre acido-basique,"200 g Riz complet
100 g Feta, émiettée
100 g Olives noires, dénoyautées
1 Concombre, coupé en dés
2 cuillère à soupe Huile d'olive
1 Citron, jus
Sel, au goût
Poivre, au goût","Utiliser le menu riz du Thermochef spécifique pour le riz complet. Comme le riz complet a besoin d'un temps de cuisson plus long, si il dépasse les 20 minutes de cuisson sur le paquet, utiliser le mode légumes sec, pression 7, puissance 2 en divisant le temps de cuisson par 3.
Ajouter 200g de riz complet et 400ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Une fois le riz cuit, le transférer dans un grand bol et laisser refroidir à température ambiante. Vous pouvez accélérer le processus en étalant le riz sur une plaque à pâtisserie.
Dans le bol contenant le riz refroidi, ajouter les dés de concombre, les olives noires dénoyautées, et la feta émiettée.
Arroser la salade avec l'huile d'olive et le jus de citron. Assaisonner avec du sel et du poivre selon le goût. Mélanger délicatement pour bien combiner tous les ingrédients sans écraser la feta.
Laisser la salade reposer au réfrigérateur pendant au moins 30 minutes avant de servir pour permettre aux saveurs de se mélanger.",226.45,18.78375,6.3645,1.5066,17.5635,3.308,15.8225,99.20875000000001,17.055,0.135525,2.4771,43.667375,0.67845,130.7145,190.81175
24,Paëlla aux fruits de mer,Entrées,Un délicieux plat espagnol riche en saveurs et généreux en fruits de mer.,,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/24.jpg,6,4,4,Équilibre acido-basique,"200 g Riz basmati
200 g Petits pois, cuits
2 cuillère à soupe Beurre
300 ml Eau
1 Menthe fraîche, hachée
Sel, au goût
Poivre, au goût","Utiliser le menu riz du Thermochef pour cuire le riz basmati. Choisir le mode 2 pour un temps de cuisson moyen. Ajouter 200g de riz basmati et 300ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Si les petits pois ne sont pas déjà cuits, vous pouvez les cuire à la vapeur dans le Thermochef en utilisant le panier vapeur.
Une fois le riz cuit, ajoutez le beurre et mélangez jusqu'à ce qu'il soit complètement fondu et que le riz soit bien enrobé.
Incorporer les petits pois cuits et une bonne quantité de menthe fraîche hachée au riz. Mélanger délicatement pour combiner tous les ingrédients sans écraser les petits pois.
Assaisonner avec du sel et du poivre selon le goût.",119.4,16.1975,4.59575,3.2351,6.86375,3.77675,11.8,35.63075000000001,16.35,0.132325,1.480175,23.905375,0.42481,81.90125,183.26725
62,Riz noir à la méditerranéenne,Accompagnements,"Un plat d'accompagnement qui marie le riz noir avec des légumes aromatiques dans un style méditerranéen, préparé avec un Thermochef.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/62.jpg,4,3,4,Riz,"200 g Lentilles vertes
1 Oignon, émincé
2 Tomates, coupées en dés
1 Gousse d'ail, émincée
1 pincée Herbes de Provence
500 ml Bouillon de légumes
Sel, au goût
Poivre, au goût","Émincer l'oignon et l'ail, couper les tomates en dés.
Dans le Thermochef, utiliser le menu thermo grill pour faire revenir l'oignon et l'ail avec un peu d'huile, couvercle ouvert.
Ajouter les lentilles, les tomates, les herbes, le bouillon, le sel et le poivre.
Fermer le couvercle, programmer le menu légumes secs, pression 7, puissance 3, pour 8 min.",86.1,12.51375,6.453825,3.33035,0.8674999999999999,5.698,8.282625,38.91375,0.0,0.152275,1.6564975,30.212875,0.356,110.0325,357.14225
63,Poulet aux olives et citron confit,Entrées,Un plat savoureux combinant les saveurs acidulées du citron confit avec l'onctuosité des olives vertes.,,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/63.jpg,4,3,3,Équilibre acido-basique,"1 Légumes de saison, carottes, courgettes, poivrons, etc.
2 Gousses d'ail, haché
1 pincée Herbes de Provence
Sel, au goût
Poivre, au goût","Couper les légumes en morceaux ou en julienne.
Dans le Thermochef, utiliser le menu thermo grill pour faire sauter les légumes avec un peu d'huile, couvercle ouvert.
Ajouter l'ail haché, les herbes, le sel et le poivre.
Cuire pendant 10 min, en remuant de temps en temps.",52.02249999999999,4.71775,1.83665,1.70085,2.03175,3.7765,2.635250000000001,30.79825,0.0,0.07812499999999999,0.962175,19.542875,0.2338,47.3875,175.91725
66,Riz noir aux palourdes et au chorizo,Plats,"Plat principal équilibrant les saveurs de la mer et de la terre avec du riz noir, des palourdes et du chorizo cuit au Thermochef.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/66.jpg,4,4,4,Riz,"500 g Carottes, épluchées et coupées en rondelles
50 g Beurre
1 cuillère à soupe Sucre
Sel, au goût
Poivre, au goût","Éplucher et couper les carottes en rondelles.
Dans le Thermochef, mettre les carottes, le beurre, le sucre, un peu d'eau, le sel et le poivre.
Programmer le menu pression, niveau 6, puissance 1, pour 5 min.",145.2,12.69275,0.90825,10.59935,11.00625,3.43925,0.5,34.81895,27.25,0.06879,0.348785,13.288625,0.163214,30.945,295.44725
68,Salade de quinoa aux légumes,Entrées,Une salade fraîche et nutritive à base de quinoa et de légumes variés.,,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/68.jpg,4,2,2,Équilibre acido-basique,"500 g Carottes
3 Œufs
200 ml Crème fraîche légère
1 cuillère à café Cumin, en poudre
Sel, au goût
Poivre, au goût","Couper les carottes en rondelles et les cuire dans le panier vapeur, 2 mesures d’eau dans la cuve du Thermochef, menu pression, 3 minutes, pression 6, puissance 3.
Mixer les carottes cuites avec les œufs, la crème, le cumin, le sel et poivre.
Verser la préparation dans des moules à flan, mettre sur la grille.
Cuire avec le menu four vapeur, 2 mesures d’eau, pression 7, pendant 12 minutes, puissance 3.",202.71,11.301,6.98225,9.0591,13.7915,4.991750000000001,0.5,115.43825,171.25,0.09385,1.400225,23.937875,0.193075,148.94,414.74225
70,Riz noir aux poivrons et saucisse,Plats,"Un mélange savoureux de riz noir, poivrons et saucisse préparé avec le Thermochef",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/70.jpg,4,3,3,Riz,"300 g Épinards, frais
200 g Feta, émiéttée
4 Œufs
200 ml Crème légère
Sel, au goût
Poivre, au goût","Battez les œufs avec la crème, salez et poivrez.
Ajoutez les épinards et la feta, mélangez bien.
Versez la préparation dans la cuve du Thermochef.
Programmer le menu 'pression' puissance 3, pression 6, pendant 12 min.",310.325,3.69125,17.20825,1.8266,26.80875,3.34175,1.4475,284.63325,253.6,0.128875,3.750725,56.357875,1.0398,273.345,546.04225
74,Riz complet aux légumes grillés,Plats,Plat sain et coloré associant le riz complet à des légumes grillés pour un repas nutritif et savoureux.,,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/74.jpg,4,2,3,Riz,"3 Poivrons rouges, coupés en morceaux
4 Tomates mûres, coupées en morceaux
1 Oignon, émincé
2 Gousses d'ail
500 ml Bouillon de légumes
1 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût","Couper les poivrons et les tomates en morceaux.
Émincer l'oignon et l'ail.
Faire revenir l'oignon et l'ail avec l'huile d'olive, menu thermo grill, 5 minutes, puissance 3.
Ajouter les poivrons, les tomates, le bouillon, le sel et le poivre. Cuire avec le menu soupe, mode 2 (20 minutes).
Mixer dans un plat à part jusqu'à obtenir une consistance lisse.",108.59,13.21525,3.31165,10.5771,4.580500000000001,5.97625,0.7739999999999999,26.51475,0.0,0.094575,0.5955975,29.9095,0.267625,72.92975000000001,656.002
75,Poisson à la provençale,Entrées,"Filets de poisson blanc cuisinés avec des légumes à la provençale, le tout préparé dans un Thermochef.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/75.jpg,4,3,3,Équilibre acido-basique,"500 g Carottes, coupées en rondelles
1 Oignon, émincé
1 cuillère à café Cumin
750 ml Bouillon de légumes
Sel, au goût
Poivre, au goût","Mettez les carottes, l'oignon, le cumin et le bouillon dans la cuve.
Programmez en mode ""soupe"" Mode 2.
Fermez le couvercle et lancez la cuisson.
Mixez le tout après la cuisson dans un plat à part et assaisonnez avant de servir.",63.2975,12.536,1.82225,9.0691,1.21025,3.91675,1.0,45.26325,0.0,0.06975,0.8627724999999999,20.812875,0.2232,39.69,362.99225
88,Riz rouge à la tomate et au basilic,Accompagnements,"Un accompagnement simple et savoureux alliant le riz rouge à la fraîcheur de la tomate et du basilic, préparé facilement avec le Thermochef.",,,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/88.jpg,4,2,2,Riz,"3 Courgettes, râpées
4 Œufs
100 ml Crème fraîche
1 Basilic frais, haché
Sel, au goût
Poivre, au goût","Râper les courgettes.
Battre les œufs avec la crème, le basilic haché, le sel et le poivre.
Ajouter les courgettes râpées au mélange.
Verser dans un moule à flan.
Utiliser le menu 'four vapeur' avec pression 7 pour 30 min, puissance 3.
Laisser refroidir avant de démouler.",172.88,3.729375,9.103874999999999,3.500475,13.016375,2.519375,0.05,97.14574999999999,222.7,0.124875,1.739725,36.612875,0.364875,187.595,500.35475
