Id,Nom,Description,Portions,Portions unité,Difficulté,Coût,Régime,Catégorie,Préparation,Cuisson,Ingrédients,Instructions,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)","Energie, Règlement UE N° 1169/2011 (kcal/100 g)","Energie, N x facteur Jones, avec fibres  (kJ/100 g)","Energie, N x facteur Jones, avec fibres  (kcal/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)","Protéines, N x 6.25 (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),Beta-Carotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K1 (µg/100 g),Vitamine K2 (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou PP ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g),Image
0,"Salade de riz complet, feta et olives","Une salade légère et rafraîchissante, parfaite pour un déjeuner d'été ou comme accompagnement lors d'un barbecue.",4,personnes,1,2,Riz,Entrées,5,40,"200 g Riz complet
100 g Feta, émiettée
100 g Olives noires, dénoyautées
1 Concombre, coupé en dés
2 cuillère à soupe Huile d'olive
1 Citron, jus
Sel, au goût
Poivre, au goût","Utiliser le menu riz du Thermochef spécifique pour le riz complet. Comme le riz complet a besoin d'un temps de cuisson plus long, si il dépasse les 20 minutes de cuisson sur le paquet, utiliser le mode légumes sec, pression 7, puissance 2 en divisant le temps de cuisson par 3.
Ajouter 200g de riz complet et 400ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Une fois le riz cuit, le transférer dans un grand bol et laisser refroidir à température ambiante. Vous pouvez accélérer le processus en étalant le riz sur une plaque à pâtisserie.
Dans le bol contenant le riz refroidi, ajouter les dés de concombre, les olives noires dénoyautées, et la feta émiettée.
Arroser la salade avec l'huile d'olive et le jus de citron. Assaisonner avec du sel et du poivre selon le goût. Mélanger délicatement pour bien combiner tous les ingrédients sans écraser la feta.
Laisser la salade reposer au réfrigérateur pendant au moins 30 minutes avant de servir pour permettre aux saveurs de se mélanger.",944.425,226.45,945.425,226.2,151.8728175,6.3645,6.3745,18.78375,17.5635,1.5066,0.818075,0.050375,0.6306,0.1875,0.195,0.21005,15.8225,3.308,0.123,2.259725,0.0,1.68505,17.055,1.2718725,99.20875000000001,804.645,0.135525,2.4771,40.3295,43.667375,0.67845,130.7145,190.81175,40.10125,508.648,0.7840699999999999,53.75,118.6075,0.079375,3.201825,18.3915,0.0,15.00125,0.0656125,0.09565000000000001,0.3274,0.4853,0.0658875,35.2795,0.1795,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/0.jpg
1,Salade de riz basmati à l'orientale,"Une salade de riz aux saveurs orientales avec des légumes frais, des pois chiches, de la feta et de la coriandre.",4,personnes,2,2,Riz,Plats,20,12,"200 g Riz basmati
100 g Pois chiches, cuits
1 Concombre
2 Tomates
50 g Coriandre fraîche
50 g Feta
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût","Préparation du riz : Utiliser le menu riz du Thermochef. Pour le riz basmati, choisir le mode 2 si le temps de cuisson sur le paquet est de 11 à 12 minutes. Ajouter 200g de riz basmati et 300ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Découpage des légumes : Pendant que le riz cuit, couper les tomates et le concombre en dés.
Mélange des ingrédients : Une fois le riz cuit et refroidi, le transférer dans un grand bol. Ajouter les pois chiches, les légumes coupés, et la feta émiettée.
Assaisonnement : Assaisonner avec l'huile d'olive, le sel, et le poivre. Mélanger délicatement.
Finalisation : Garnir de coriandre fraîche hachée. Réfrigérer pendant une heure avant de servir pour permettre aux saveurs de se mélanger.
Pour une texture plus ferme des pois chiches, vous pouvez les placer dans un sachet sous vide et les cuire sous vide dans le Thermochef à 85°C pendant 30 minutes.
Pour une feta plus crémeuse, enveloppez-la également sous vide et faites-la cuire à basse température (sous 60°C) pendant 10 minutes.",911.145,218.1975,910.895,217.8225,207.3740675,6.749000000000001,6.7815,20.56175,10.92925,3.1801,1.748075,0.025375,1.3366,0.175,0.1825,0.22255,16.1475,4.25425,0.16335,2.163725,0.0,0.665175,8.15,0.572105,80.71925,393.5,0.177075,0.869225,26.7195,37.056125,0.53465,118.3595,425.88675,33.35125,228.4395,0.825595,26.875,860.2199999999999,0.235625,2.651325,62.2765,0.0,20.78875,0.076975,0.097575,0.8324,0.5553,0.133225,60.767,0.06625,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/1.jpg
2,Riz rouge aux épinards et aux noix,"Un plat nutritif et savoureux combinant la richesse du riz rouge avec la fraîcheur des épinards et le croquant des noix, relevé d'une touche d'huile d'olive pour une gourmandise harmonieuse.",4,personnes,2,3,Riz,Plats,0,35,"200 g Riz rouge
200 g Épinards, frais, hachés
50 g Noix, hachées
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût","Utiliser le menu riz du Thermochef spécifique pour le riz rouge. Si le riz rouge a besoin d'un temps de cuisson plus long que 20 minutes, utiliser le mode légumes sec, pression 7, puissance 2 en divisant le temps de cuisson par 3.
Ajouter 200g de riz rouge et 400ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Une fois le riz cuit, le retirer et réserver.
Chauffer une cuillère à soupe d'huile d'olive en utilisant le mode thermo grill du Thermochef (couvercle ouvert, puissance 3).
Ajouter les épinards et faire sauter jusqu'à ce qu'ils soient flétris, environ 3-5 minutes. Assaisonner avec du sel et du poivre.
Incorporer les noix hachées aux épinards sautés pour ajouter du croquant et une saveur de noisette au plat.
Ajouter le riz cuit aux épinards et aux noix, mélanger le tout avec le reste de l'huile d'olive pour enrober le mélange.
Goûter et ajuster l'assaisonnement avec du sel et du poivre selon le goût.",542.95,129.825,541.45,129.825,82.61656749999999,4.475750000000001,4.80325,16.56625,11.08225,0.3241,0.356075,0.060875,0.3646,0.275,0.275,0.31605,14.50875,3.73675,0.0,1.669725,0.0,0.005675,0.0,0.33646,79.94624999999999,225.5875,0.169775,2.538975,10.5545,68.986125,1.52595,133.5645,342.51175,6.40125,133.8355,1.190945,0.0,2861.67,0.048125,2.939325,264.8915,0.0,20.61375,0.12505,0.145025,0.42865,0.37205,0.345575,121.5545,0.0,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/2.jpg
3,Riz complet à la patate douce et cannelle,"Un plat réconfortant associant la douceur de la patate douce à l'arôme de la cannelle, parfait pour un dîner automnal ou hivernal.",4,personnes,2,2,Riz,Plats,0,30,"200 g Riz complet
1 Patate douce, coupée en dés
1 cuillère à café Cannelle
2 cuillère à soupe Huile d'olive
400 ml Eau
Sel, au goût","Cuisson du riz : Utiliser le menu riz du Thermochef spécifique pour le riz complet. Comme le riz complet a besoin d'un temps de cuisson plus long, Si il dépasse les 20 minutes de cuisson sur le paquet utilisé le mode légumes sec, pression 7, puissance 2 en divisant le temps de cuisson par 3.
Ajouter 200g de riz complet et 400ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Préparation de la patate douce : Une fois le riz cuit, le retirer et réserver, mettre le Thermochef en mode thermo grill (couvercle ouvert, puissance 3). Ajouter 1 cuillère à soupe d'huile d'olive et faire sauter les dés de patate douce jusqu'à ce qu'ils soient tendres et légèrement caramélisés, environ 10 minutes. Saupoudrer de cannelle pendant la cuisson pour les enrober de saveur.
Mélanger avec le riz : Prenez le riz cuit, incorporez délicatement les dés de patate douce au riz dans un grand bol.
Assaisonnement : Ajuster l'assaisonnement avec du sel selon le goût. Utiliser la cuillère à soupe d'huile d'olive restante pour arroser le plat, ajoutant une couche supplémentaire de saveur et de richesse.
Servir : Servir chaud, permettant à chaque bouchée de bénéficier de la douceur de la patate douce et de l'arôme réconfortant de la cannelle.",715.0,171.265,713.5,170.765,72.85956750000001,2.78685,2.87185,19.2925,8.3246,1.20085,0.37555,0.0,0.5151999999999999,0.1,0.1,0.5100999999999999,16.95,3.7655,0.0175,1.084,0.0,0.0057,0.58,0.55047,28.04625,155.145,0.09922500000000001,0.695575,13.8045,36.811125,0.7584500000000001,89.8595,129.71675,11.31675,120.125,0.54762,0.0,266.71,0.01625,1.5011,4.3325,0.0,7.118999999999999,0.09261,0.047705,0.75665,0.2718,0.0733,29.23,0.087,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/3.jpg
4,Riz thaï au tofu et brocoli,"Un plat complet, sain et délicieux, parfait pour un repas végétarien ou vegan avec des saveurs umami apportées par la sauce soja et l'huile de sésame.",4,personnes,2,2,Riz,Plats,5,20,"200 g Riz thaï
200 g Tofu, coupé en dés
200 g Brocoli, en petits bouquets
2 cuillère à soupe Sauce soja
1 cuillère à soupe Huile de sésame
Sel, au goût
Poivre, au goût","Utiliser le menu riz du Thermochef pour cuire le riz thaï. Choisir le mode 3 pour un temps de cuisson adapté. Ajouter 200g de riz thaï et 300ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Une fois le riz cuit, le retirer et réserver.
Mettre le Thermochef en mode thermo grill (couvercle ouvert, puissance 3). Ajouter l'huile de sésame et faire sauter les dés de tofu jusqu'à ce qu'ils soient dorés sur toutes les faces, environ 5-7 minutes.
Ajouter ensuite les bouquets de brocoli et continuer à faire sauter jusqu'à ce que le brocoli soit tendre mais encore croquant, environ 5 minutes supplémentaires.
Verser la sauce soja sur le mélange de tofu et brocoli. Bien mélanger pour enrober les ingrédients de sauce. Laisser cuire encore 2-3 minutes pour que les saveurs se mélangent.
Servir le mélange de tofu et de brocoli sur le riz. Mélanger légèrement pour combiner ou servir le mélange à côté du riz selon les préférences.
Ajuster l'assaisonnement avec du sel et du poivre selon le goût.",449.57,108.17,438.57,105.67,121.4735675,10.77545,11.49545,16.86135,7.76775,1.3554,0.542575,0.050375,0.4981,0.225,0.252,0.41205,13.42,2.24165,0.005,3.073225,0.0,0.630169,0.555,1.96009,81.64025,239.29,0.191335,1.813025,20.5445,72.565875,0.8742000000000001,169.715,307.27225,21.25125,784.3855,1.108695,0.0,187.02,0.125625,0.9555750000000001,98.052,0.0,53.50125,0.05844,0.084425,0.8033499999999999,0.57515,0.129875,95.89450000000001,0.024,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/4.jpg
5,Riz complet aux légumes grillés,Plat sain et coloré associant le riz complet à des légumes grillés pour un repas nutritif et savoureux.,4,personnes,2,3,Riz,Plats,0,35,"200 g Riz complet
1 Courgette, coupée en rondelles
1 Poivron rouge, coupé en lanières
1 Aubergine, coupée en rondelles
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût","Cuisson du riz : Utiliser le menu riz du Thermochef spécifique pour le riz complet. Si le riz complet a besoin d'un temps de cuisson plus long que 20 minutes indiqué sur le paquet, utiliser le mode légumes sec, pression 7, puissance 2 en divisant le temps de cuisson par 3.
Ajouter 200g de riz complet et 400ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Grillage des légumes : Une fois le riz cuit, le retirer et réserver. Préparer les légumes pour le grill. Enduire légèrement les courgettes, les poivrons et les aubergines avec 1 cuillère à soupe d'huile d'olive. Utiliser le mode thermo grill du Thermochef (couvercle ouvert, puissance 3) pour griller les légumes jusqu'à ce qu'ils soient tendres et marqués, environ 5-7 minutes de chaque côté.
Assemblage : Prendre le riz cuit et les légumes grillés, mélanger le riz et les légumes dans un grand bol. Ajouter la cuillère à soupe d'huile d'olive restante et mélanger délicatement pour combiner.
Assaisonnement : Assaisonner le plat avec du sel et du poivre selon le goût.",670.025,160.3,668.525,159.8,198.4978175,3.73325,3.81825,21.781875,7.461000000000001,5.037225,2.620575,0.000375,2.364975,0.175,0.175,0.3243,15.33125,5.4705,0.382,1.535975,0.0,0.343175,0.58,0.27271625,27.0525,167.0325,0.1704625,0.765225,19.815125,48.061125,0.93345,115.4395,444.37425,19.32875,109.32925,0.673445,0.0,298.545,0.016875,3.00745,11.15275,0.0,56.345,0.1119875,0.13815,1.16365,0.586425,0.3132,86.39824999999999,0.047,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/5.jpg
6,Riz complet aux pois chiches et aux épices,"Un plat nutritif et savoureux, parfait pour un repas équilibré et riche en protéines, avec des épices qui ajoutent une profondeur de goût.",4,personnes,2,2,Riz,Plats,5,25,"200 g Riz complet
400 g Pois chiches, cuits
1 cuillère à café Cumin
1 cuillère à café Coriandre moulue
1 cuillère à café Paprika
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût","Cuisson du riz : Utiliser le menu riz du Thermochef spécifique pour le riz complet. Comme le riz complet a besoin d'un temps de cuisson plus long, si le temps de cuisson dépasse les 20 minutes sur le paquet, utiliser le mode légumes sec, pression 7, puissance 2 en divisant le temps de cuisson par 3.
Ajouter 200g de riz complet et 400ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Préparation des pois chiches : Une fois le riz cuit, le retirer et réserver au chaud, mettre le Thermochef en mode thermo grill (couvercle ouvert, puissance 3). Ajouter l'huile d'olive et les pois chiches cuits. Saupoudrer de cumin, de coriandre moulue, et de paprika. Faire revenir les pois chiches avec les épices pendant environ 5-7 minutes, jusqu'à ce qu'ils soient bien enrobés et légèrement croustillants.
Mélange avec le riz : Prenez le riz cuit, l'incorporer aux pois chiches épicés dans la cuve du Thermochef. Mélanger délicatement pour bien combiner tous les ingrédients.
Assaisonnement : Goûter et ajuster l'assaisonnement avec du sel et du poivre selon le goût.",1218.6,290.785,1217.1,290.285,92.36976750000001,10.20225,10.28725,34.42775,10.27725,0.46435,0.334125,0.001325,0.31375,0.3,0.3,0.4041,30.1,9.85075,0.5,1.335325,0.0,0.05682500000000001,0.58,0.280825,89.09125,175.895,0.306325,2.025475,31.3545,73.356125,1.48255,206.5745,222.26175,31.35125,112.8655,1.485095,0.0,34.48,0.266875,2.876475,7.494999999999999,0.0,0.89925,0.0988,0.041275,0.4202,0.3471,0.127975,99.44950000000001,0.047,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/6.jpg
7,Riz basmati à la courgette et au yaourt,"Un plat léger et rafraîchissant mêlant la douceur des courgettes avec l'onctuosité du yaourt, idéal pour un repas d'été ou comme accompagnement.",4,personnes,2,2,Riz,Plats,15,25,"200 g Riz basmati
2 Courgettes, coupées en rondelles
200 g Yaourt nature
1 Gousse d'ail, émincée
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût","Cuisson du riz : Utiliser le menu riz du Thermochef pour cuire le riz basmati. Choisir le mode 2 pour un temps de cuisson moyen. Ajouter 200g de riz basmati et 300ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Préparation des courgettes : Une fois le riz cuit, le retirer et réserver au chaud, mettre le Thermochef en mode thermo grill (couvercle ouvert, puissance 3). Ajouter 1 cuillère à soupe d'huile d'olive et faire sauter les rondelles de courgette avec l'ail émincé jusqu'à ce qu'elles soient tendres et légèrement dorées, environ 5-7 minutes.
Mélanger avec le yaourt : Transférer les courgettes cuites dans un bol et laisser refroidir légèrement. Ajouter le yaourt nature et mélanger délicatement. Assaisonner avec du sel et du poivre selon le goût.
Assemblage : Prenez le riz cuit, l'étaler dans un plat de service. Répartir le mélange de courgettes et de yaourt sur le riz. Mélanger légèrement avant de servir pour que le riz s'imprègne des saveurs du yaourt et des courgettes.",659.875,157.9075,658.875,157.5575,175.0875675,4.685575,4.715575,15.56325,7.826000000000001,3.1306,1.142825,0.2353749999999999,0.8941,1.1565,0.1515,0.1913,11.802625,3.15775,0.01775,1.4198,0.0,0.50615,6.5,0.3301075,89.52875,249.27725,0.10085,0.6212,26.2945,27.936125,0.3376,111.1395,367.03675,13.75625,131.178,0.71657,5.5,140.7075,0.5437500000000001,1.612925,8.942499999999999,0.34,18.005,0.0763,0.2551,0.6168999999999999,0.40725,0.232325,53.13525,0.165,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/7.jpg
8,Riz thaï aux noix de cajou et poulet,"Un plat complet aux saveurs riches et satisfaisantes comprenant du riz thaï, du poulet et des noix de cajou, le tout rehaussé par la sauce soja.",4,personnes,2,3,Riz,Plats,0,25,"200 g Riz thaï
200 g Poulet, en dés
100 g Noix de cajou, grillées
2 cuillère à soupe Sauce soja
1 cuillère à soupe Huile
Sel, au goût
Poivre, au goût","Cuisson du riz : Utiliser le menu riz du Thermochef pour cuire le riz thaï. Choisir le mode 3 pour un temps de cuisson adapté. Ajouter 200g de riz thaï et 300ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Préparation du poulet : Une fois le riz cuit, le retirer et réserver au chaud, mettre le Thermochef en mode thermo grill (couvercle ouvert, puissance 3). Ajouter l'huile et faire sauter les dés de poulet jusqu'à ce qu'ils soient bien cuits et dorés, environ 5-7 minutes.
Ajouter des noix de cajou : Incorporer les noix de cajou grillées au poulet et mélanger. Verser la sauce soja et continuer à faire sauter le tout pendant encore 2-3 minutes, jusqu'à ce que le mélange soit bien enrobé de sauce.
Assemblage : Prenez le riz cuit, servir le poulet et les noix de cajou sur le riz. Bien mélanger pour que le riz s'imprègne des saveurs du poulet et de la sauce soja.
Assaisonnement : Ajuster l'assaisonnement avec du sel et du poivre selon le goût.",379.57,90.66999999999999,379.57,90.66999999999999,77.8020425,15.90045,16.67045,21.25135,17.51775,2.2229,0.147575,0.000375,0.1881,0.1,0.1395,1.85205,17.67,1.50415,0.0,3.37635,0.0,0.005169,34.955,2.3115125,24.27825,251.69,0.5654600000000001,1.59465,12.5445,79.4175,0.492525,228.97475,323.782,19.05125,924.298,2.19532,7.649999999999999,4.1825,0.08374999999999999,2.073325,10.87825,0.0,1.52625,0.14144,0.131925,4.68835,0.7626499999999999,0.330875,26.7445,0.219,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/8.jpg
9,Riz noir à la betterave et chèvre,"Un plat principal visuellement impressionnant et riche en saveurs, mariant la douceur de la betterave, la richesse du fromage de chèvre et la texture unique du riz noir.",4,personnes,3,4,Riz,Plats,0,25,"200 g Riz noir
2 Betteraves cuites, coupées en dés
100 g Fromage de chèvre, émietté
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût","Cuisson du riz : Utiliser le menu riz du Thermochef spécifique pour le riz noir. Comme le riz noir a besoin d'un temps de cuisson plus long, Si il dépasse les 20 minutes de cuisson sur le paquet utilisé le mode légumes sec, pression7, puissance 2 en divisant le temps de cuisson par 3.
Ajouter 200g de riz noir et 400ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Préparation des betteraves : Une fois le riz cuit, le retirer et réserver, mettre le Thermochef en mode thermo grill (couvercle ouvert, puissance 3). Ajouter 1 cuillère à soupe d'huile d'olive et faire sauter légèrement les dés de betterave pour les réchauffer et les rendre un peu plus tendres, environ 5 minutes.
Mélanger avec le riz : Prenez le riz cuit, incorporez délicatement les dés de betterave au riz. Le riz noir prendra une belle couleur pourpre grâce au jus des betteraves.
Ajout du fromage de chèvre : Émietté le fromage de chèvre sur le riz chaud et les betteraves. Le fromage commence à fondre légèrement, ajoutant une texture crémeuse et un goût riche au plat.
Assaisonnement : Assaisonner le plat avec du sel et du poivre selon le goût.",1110.45,266.125,1111.45,266.125,118.5290675,8.710749999999999,8.67075,23.53125,14.41225,6.8641,0.750575,0.000375,0.9506,0.325,0.35,5.450049999999999,15.55,3.71425,0.5,1.888475,0.0,0.133175,28.33,0.7729349999999999,58.49625,532.645,0.148525,0.551475,38.8545,45.161125,0.8984500000000001,124.9645,405.06175,34.60125,307.3605,0.7534449999999999,43.75,22.67,0.141875,1.684325,5.3365,0.0,0.75125,0.0578,0.177525,0.50615,0.53205,0.09607500000000001,46.5295,0.07200000000000001,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/9.jpg
