Nom,Fichier
"Baeckeoffe alsacien au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/BAECKEOFFE%20ALSACIEN%20AU%20THERMOCHEF.mp3"
"Blanquette de lieu noir au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/BLANQUETTE%20DE%20LIEU%20NOIR%20AU%20THERMOCHEF.mp3"
"Blanquette de veau au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/BLANQUETTE%20DE%20VEAU%20AU%20THERMOCHEF.mp3"
"Boudin noir aux pommes de terre et pomme au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/BOUDIN%20NOIR%20AUX%20POMMES%20DE%20TERRE%20ET%20POMME%20AU%20THERMOCHEF.mp3"
"Bouillabaisse au thermochef — version accessible","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/BOUILLABAISSE%20AU%20THERMOCHEF%20%E2%80%94%20VERSION%20ACCESSIBLE.mp3"
"Boulettes de viande, pommes de terre et sauce tomate au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/BOULETTES%20DE%20VIANDE%2C%20POMMES%20DE%20TERRE%20ET%20SAUCE%20TOMATE%20AU%20THERMOCHEF.mp3"
"Cake aux courgettes, pesto et parmesan facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CAKE%20AUX%20COURGETTES%2C%20PESTO%20ET%20PARMESAN%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Cake aux olives noires et tofu fume facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CAKE%20AUX%20OLIVES%20NOIRES%20ET%20TOFU%20FUME%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Cake aux olives, poivron et feta facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CAKE%20AUX%20OLIVES%2C%20POIVRON%20ET%20FETA%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Cake de tomate, basilic et chevre chaud facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CAKE%20DE%20TOMATE%2C%20BASILIC%20ET%20CHEVRE%20CHAUD%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Cassoulet facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CASSOULET%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Chili vegetalien facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CHILI%20VEGETALIEN%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Chou au seitan au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CHOU%20AU%20SEITAN%20AU%20THERMOCHEF.mp3"
"Choucroute garnie au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CHOUCROUTE%20GARNIE%20AU%20THERMOCHEF.mp3"
