Nom,fichier,Catégorie
"Creme dessert chocolatee au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/CREME%20DESSERT%20CHOCOLATEE%20AU%20THERMOCHEF.mp3","Desserts"
"Dessert coco banane au rhum facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/DESSERT%20COCO%20BANANE%20AU%20RHUM%20FACON%20THERMOCHEF.mp3","Desserts"
"Dessert coco framboises au rhum facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/DESSERT%20COCO%20FRAMBOISES%20AU%20RHUM%20FACON%20THERMOCHEF.mp3","Desserts"
"Dessert coco myrtilles au rhum facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/DESSERT%20COCO%20MYRTILLES%20AU%20RHUM%20FACON%20THERMOCHEF.mp3","Desserts"
"Dessert coco pruneaux au rhum facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/DESSERT%20COCO%20PRUNEAUX%20AU%20RHUM%20FACON%20THERMOCHEF.mp3","Desserts"
"Flan aux œufs et lait de coco facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/FLAN%20AUX%20%C5%92UFS%20ET%20LAIT%20DE%20COCO%20FACON%20THERMOCHEF.mp3","Desserts"
"Gateau a la carotte facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/GATEAU%20A%20LA%20CAROTTE%20FACON%20THERMOCHEF.mp3","Desserts"
"Gateau aux amandes et myrtilles facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/GATEAU%20AUX%20AMANDES%20ET%20MYRTILLES%20FACON%20THERMOCHEF.mp3","Desserts"
"Gateau aux pommes et citron facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/GATEAU%20AUX%20POMMES%20ET%20CITRON%20FACON%20THERMOCHEF.mp3","Desserts"
"Gateau moelleux au chocolat alsa facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/GATEAU%20MOELLEUX%20AU%20CHOCOLAT%20ALSA%20FACON%20THERMOCHEF.mp3","Desserts"
"Gateau moelleux au chocolat facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/GATEAU%20MOELLEUX%20AU%20CHOCOLAT%20FACON%20THERMOCHEF.mp3","Desserts"
"Naan a la banane et au coco facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/NAAN%20A%20LA%20BANANE%20ET%20AU%20COCO%20FACON%20THERMOCHEF.mp3","Desserts"
"Naan au chocolat et a l’orange facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/NAAN%20AU%20CHOCOLAT%20ET%20A%20L%E2%80%99ORANGE%20FACON%20THERMOCHEF.mp3","Desserts"
"Pain au levain naturel et farine de seigle facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/PAIN%20AU%20LEVAIN%20NATUREL%20ET%20FARINE%20DE%20SEIGLE%20FACON%20THERMOCHEF.mp3","Desserts"
"Pain aux noix sans petrissage facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/PAIN%20AUX%20NOIX%20SANS%20PETRISSAGE%20FACON%20THERMOCHEF%20%E2%80%94.mp3","Desserts"
"Pain multicereales aux legumes facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/PAIN%20MULTICEREALES%20AUX%20LEGUMES%20FACON%20THERMOCHEF.mp3","Desserts"
"Pain vapeur basique facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/PAIN%20VAPEUR%20BASIQUE%20FACON%20THERMOCHEF.mp3","Desserts"
"Polenta vanille, rhum et pepites de chocolat facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/POLENTA%20VANILLE%2C%20RHUM%20ET%20PEPITES%20DE%20CHOCOLAT%20FACON%20THERMOCHEF.mp3","Desserts"
"Quatre-quart marbre facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/QUATRE-QUART%20MARBRE%20FACON%20THERMOCHEF.mp3","Desserts"
"Riz au lait basse temperature fleur de coco et sirop de yacon facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/RIZ%20AU%20LAIT%20BASSE%20TEMPERATURE%20FLEUR%20DE%20COCO%20ET%20SIROP%20DE%20YACON%20FACON%20THERMOCHEF.mp3","Desserts"
"Yaourt maison a la cannelle et au miel au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/YAOURT%20MAISON%20A%20LA%20CANNELLE%20ET%20AU%20MIEL%20AU%20THERMOCHEF.mp3","Desserts"
"Yaourt maison au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/YAOURT%20MAISON%20AU%20THERMOCHEF.mp3","Desserts"
"Yaourt maison aux fruits rouges au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/YAOURT%20MAISON%20AUX%20FRUITS%20ROUGES%20AU%20THERMOCHEF.mp3","Desserts"
"Yaourt maison vegetal a la vanille et au lait d’amande au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/YAOURT%20MAISON%20VEGETAL%20A%20LA%20VANILLE%20ET%20AU%20LAIT%20D%E2%80%99AMANDE%20AU%20THERMOCHEF.mp3","Desserts"
"Yaourt maison vegetal au lait d’amande, cacao et banane au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/YAOURT%20MAISON%20VEGETAL%20AU%20LAIT%20D%E2%80%99AMANDE%2C%20CACAO%20ET%20BANANE%20AU%20THERMOCHEF.mp3","Desserts"
"Œufs a la coque facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/%C5%92UFS%20A%20LA%20COQUE%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Œufs au plat facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/%C5%92UFS%20AU%20PLAT%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Œufs durs facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/%C5%92UFS%20DURS%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Omelette au fromage facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/OMELETTE%20AU%20FROMAGE%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Omelette aux champignons, ail et persil facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/OMELETTE%20AUX%20CHAMPIGNONS%2C%20AIL%20ET%20PERSIL%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Omelette aux oignons facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/OMELETTE%20AUX%20OIGNONS%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Omelette courgette et chevre facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/OMELETTE%20COURGETTE%20ET%20CHEVRE%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Omelette jambon-fromage facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/OMELETTE%20JAMBON-FROMAGE%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Omelette nature facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/OMELETTE%20NATURE%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Omelette tomate basilic facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/OMELETTE%20TOMATE%20BASILIC%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"One pot cavatelli a la saucisse italienne et aux poivrons","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20CAVATELLI%20A%20LA%20SAUCISSE%20ITALIENNE%20ET%20AUX%20POIVRONS.mp3","One pot pasta"
"One pot conchiglie aux epinards et a la creme","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20CONCHIGLIE%20AUX%20EPINARDS%20ET%20A%20LA%20CREME.mp3","One pot pasta"
"One pot coquillettes saumon et creme citronnee","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20COQUILLETTES%20SAUMON%20ET%20CREME%20CITRONNEE.mp3","One pot pasta"
"One pot farfalle a la grecque vegetarien","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FARFALLE%20A%20LA%20GRECQUE%20VEGETARIEN.mp3","One pot pasta"
"One pot farfalle aux legumes printemps","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FARFALLE%20AUX%20LEGUMES%20PRINTEMPS.mp3","One pot pasta"
"One pot farfalle champignons et creme","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FARFALLE%20CHAMPIGNONS%20ET%20CREME.mp3","One pot pasta"
