Name,Picture,Price,Category name,Description,Brand,Size,Likes,Location,Seller
Adidas Lite Racer,https://zyllio.github.io/zyllio-samples/zinted/products/adidas.jpg,30,Shoes,New without tags,Adidas,39,,"FLORIDIA, ITALIA",seller@gmail.com
Toutou speak with me Vtech,https://zyllio.github.io/zyllio-samples/zinted/products/toutou.jpg,12,Toys,"Requires 4 LR06 batteries

",VTech,One size,,"CEYRESTE, FRANCE",seller@gmail.com
DVD box Prison Break,https://zyllio.github.io/zyllio-samples/zinted/products/dvd.jpg,20,Music and video,,Warner,One size,,BELGIQUE,seller@gmail.com
VTech toutou,https://zyllio.github.io/zyllio-samples/zinted/products/vtech.jpg,4,Toys,Requires 4 LR06 batteries,VTech,One size,,"SENNECEY-LE-GRAND, FRANCE",seller@gmail.com
Sunglasses,https://zyllio.github.io/zyllio-samples/zinted/products/sun.jpg,5,Kids,,Esprit,One size,,"SENNECEY-LE-GRAND, FRANCE",seller@gmail.com
"Watch Ficher Price
",https://zyllio.github.io/zyllio-samples/zinted/products/watch.jpg,5,Toys,Educative watch for kids,Watch Ficher Price,One size,,"CEYRESTE, FRANCE",seller@gmail.com
Cap for babies,https://zyllio.github.io/zyllio-samples/zinted/products/cap.jpg,1.5,Kids,,"ORCHESTRA ","6-12 MONTHS, 47 CM",,"CEYRESTE, FRANCE",seller@gmail.com
Game of thrones s2,https://zyllio.github.io/zyllio-samples/zinted/products/game.jpg,45,Video,Bluray collector game of thrones saison 2,SONY,One size,,"CEYRESTE, FRANCE",seller@gmail.com
Figurine - Tintin,https://zyllio.github.io/zyllio-samples/zinted/products/tintin.jpg,5,Toys,,-,One size,," GRENOBLE, FRANCE",seller@gmail.com
Transportation bag,https://zyllio.github.io/zyllio-samples/zinted/products/bag.jpg,35,Pets,,Siivton,One size,," GRENOBLE, FRANCE",seller@gmail.com
Buds,https://zyllio.github.io/zyllio-samples/zinted/products/bud.jpg,40,Music,,"SAMSUNG ",One size,," PALAMINY, FRANCE",seller@gmail.com
